,track_artistid,track_genre
433,1VQbKTxffoucVT6aFFPTh6,poznan indie
434,6hFbcJtWWImXHOxgUcLedm,
435,3NI2ar7GCozS2JaqTyU0Ra,
436,2kLa7JZu4Ijdz1Gle2khZh,uk house
437,2kLa7JZu4Ijdz1Gle2khZh,uk house
438,513OW9lkE4k3NQ7en6raQ8,
439,0CdxxbmCwuQ0dV9LvvyqlO,brighton indie
440,4WUnl8sNbzqlJPZkX3Psnl,
441,1VQbKTxffoucVT6aFFPTh6,poznan indie
442,6Vu5ri1skVRQ5jh8Tkytri,aussietronica
443,7su1fG75ZwXHA6ei9Zcy7T,ethnotronica
444,7nwdEDnfgNpPhWQCXX3KSx,uk house
445,238y1dKPtMeFEpX3Y6H1Vr,downtempo
446,27gtK7m9vYwCyJ04zz0kIb,gauze pop
447,1kR99O4MgSTasyeJh8UFCg,deep house
448,5tDjiBYUsTqzd0RkTZxK7u,progressive house
449,4aiyHXUEJDuoEBjnwjR2LZ,gauze pop
450,3NaMuUYTIGm6CC3YqTuTvi,montreal indie
451,0u2qG4roqULELVVO9fMgSG,progressive house
452,135mViPxje2MED7hOnn2j9,vapor soul
453,5MKqWyqq5CStK7AhkTvzQF,deep house
454,48I9QQhVxPjmcSOPeLVv5D,japanese electronic
455,6QAXPFWafsrhltnhogrQ1P,deep house
456,40fACoIst11B7qUfiG4Val,
457,7BMPLwFPZGB8CUKjHnsyJ4,float house
458,5rZVjGkZZI4TnpMHQwrxfG,bass music
459,65A90NWrD8qdbNtsRgVXdf,
460,3LHqODf1hGAgZ5LTw1Gf4C,electronica
461,2T5NLCuN31j79zbxZ2XCSA,uk dance
462,2T5NLCuN31j79zbxZ2XCSA,uk dance
463,2T5NLCuN31j79zbxZ2XCSA,uk dance
464,4ogwGU9VPWrnVBs1GEwZVV,neo-psychedelic
465,6JkBbOaS3boYr0jIeSj5eM,
466,1Na1sVrGWKwAigaW7a6hi5,pop edm
467,0cmWgDlu9CwTgxPhf403hb,downtempo
468,6xntWWHXwBPaj2oho3l2nZ,chillstep
469,78L0GCvVF5ee0XqDHH2D2J,
470,1HOwBu28fLoko3pAmIQqe4,bristol electronic
471,3HRRzIZNQFus3xlUx2xKy1,deep euro house
472,2HGAZDmVV3GAH4XFAZdvSG,electro-pop francais
473,6RAx8RRxoHeJIqD2d0EjOa,electronica
474,23B2qxOv4x5uzlyhfEuNQi,munich electronic
475,7oPiRiSFQyuhvOXCpQHTLr,
476,27gtK7m9vYwCyJ04zz0kIb,gauze pop
477,3tR4rvObgBkSOntrW3j8WS,
478,6X8lhZ7YaRUBlOsOYimlyD,compositional ambient
479,4Rcol4u0q89lypqKI83GDz,ambient house
480,73IRHBhotETMmgvRCEyTCS,balearic
481,238y1dKPtMeFEpX3Y6H1Vr,downtempo
482,2ABBMkcUeM9hdpimo86mo6,chillwave
483,2ABBMkcUeM9hdpimo86mo6,chillwave
484,3iOvXCl6edW5Um0fXEBRXy,downtempo
485,2VpAgwoIUYlsWcSb6oLwoZ,french indietronica
486,1YvN5uOGQkHVUUlZUcnotD,balearic
487,3X1fGv94hiyQQ8Sc7GRE0K,bass trip
488,3X1fGv94hiyQQ8Sc7GRE0K,bass trip
