,key,key_confidence,mode,mode_confidence,number_of_sections,tempo,tempo_confidence,time_signature,time_signature_confidence,track_id
92,2.0,0.86,1.0,0.75,12.0,165.629,0.074,4.0,1.0,0odFemLB4X22YslizqRKC6
93,11.0,0.227,0.0,0.526,12.0,114.019,0.743,4.0,0.762,4uk29AVmPqSMQ99freKKai
94,11.0,0.775,1.0,0.827,12.0,97.0,0.333,4.0,0.939,34DpOSd0pXWxUgFHA6HhJ0
95,6.0,0.366,0.0,0.492,12.0,79.548,0.513,3.0,0.961,6bYEmK82myFFZjX76AYLQI
96,9.0,0.495,1.0,0.578,12.0,159.923,0.726,4.0,1.0,0i8GWH7I373bJCdVUDfUJm
97,1.0,0.146,0.0,0.399,12.0,81.007,0.866,4.0,0.752,4vRVpQ6S4SwZyPgoC71yEk
98,5.0,0.395,1.0,0.379,12.0,103.986,0.872,4.0,1.0,6Oj1vBGXiFIOlwzAWrfqAI
99,6.0,0.657,1.0,0.524,12.0,79.969,0.215,4.0,1.0,01LTzmitkMqLmmrEEyUkqx
100,11.0,0.131,1.0,0.362,12.0,148.784,0.16,4.0,0.945,3g5pYVePf1XYxGhiy9PhPk
101,4.0,0.545,1.0,0.616,12.0,148.254,0.249,3.0,0.614,4fOtujQrwmK7zyiai5TVqh
102,0.0,0.211,0.0,0.319,12.0,110.002,0.63,4.0,0.862,4N66BZttVfqxx33AKRkvdi
103,2.0,0.66,0.0,0.463,12.0,83.01,0.354,4.0,1.0,1Sz1NdKzj6i9zFXRCK0tEh
104,9.0,0.322,1.0,0.432,12.0,83.246,0.337,4.0,0.677,6vXBhZm9Yv8CvYX9ukLNz8
105,4.0,0.647,1.0,0.599,12.0,84.985,0.321,4.0,0.821,4OyOGRKUyI5sZeE4lJKboR
106,8.0,0.63,1.0,0.53,12.0,106.01,0.908,4.0,0.907,5QEEh8nfWmomV8VRbsGcAM
107,7.0,0.677,1.0,0.778,12.0,90.06,0.032,4.0,1.0,5QTc1DAqcsedOXof83SsYV
108,3.0,0.394,1.0,0.467,12.0,74.997,0.281,4.0,1.0,42EMSKPgulAzr4RLY65Eut
109,9.0,0.382,1.0,0.433,12.0,90.021,0.722,4.0,0.803,2tKTx3sBuajVrzgPYCsJzC
110,1.0,0.251,0.0,0.389,12.0,178.098,0.007,4.0,1.0,1MJUvkDWM7bdgah1kT3BsL
111,2.0,0.406,1.0,0.32,12.0,110.002,0.925,4.0,1.0,1EaEpnLJjqA536flxzenNw
112,1.0,0.636,0.0,0.745,12.0,106.013,0.917,4.0,0.935,5GDtiMZfvmnl6P2rVB0x6O
113,2.0,0.918,1.0,0.9,12.0,137.928,0.836,4.0,1.0,1atQh4c0D1oEVQ6sNtKncZ
114,0.0,0.328,1.0,0.399,12.0,122.025,0.469,4.0,0.99,0Y6y9oaifWl4JxsT5rrg63
115,3.0,0.163,1.0,0.335,12.0,100.014,0.501,4.0,1.0,6Djtp4rIdvu11J7akZ2FWe
116,6.0,0.633,0.0,0.9,12.0,172.03,0.586,4.0,1.0,39nTI9fKd7tB0AUuQObLf1
117,8.0,0.179,1.0,0.346,12.0,103.477,0.41,4.0,1.0,3vhjvHdXDMiK0yEk6AyIVa
118,1.0,0.439,1.0,0.511,12.0,124.79,0.74,4.0,0.881,1XxTn6PXWiLwndoOExfBLo
119,3.0,0.46,1.0,0.515,12.0,114.004,0.859,4.0,0.977,0euCbI7AVko7Fj4Y9UIwrc
120,9.0,0.51,1.0,0.489,12.0,123.603,0.398,4.0,1.0,5qxG48QWWi0SgrK67OwXHX
121,2.0,0.41,1.0,0.555,12.0,94.55,0.775,4.0,1.0,3OKuM0DIPFKKhg97ILRoci
122,4.0,0.026,1.0,0.231,12.0,153.87,0.339,4.0,1.0,4Qi5WF8IM9GPbKoEbZBOGJ
123,9.0,0.436,1.0,0.467,12.0,139.935,0.358,4.0,1.0,2aGdUcIFCB8vjxqibN3JhZ
124,9.0,0.631,1.0,0.709,12.0,105.061,0.166,4.0,1.0,0O8opD0spCg2nheujR7DyP
125,9.0,0.631,1.0,0.542,12.0,110.11,0.072,5.0,0.105,5tdtOKe2N9b2K20ajt3Y1f
126,8.0,0.251,1.0,0.32,12.0,139.982,0.786,4.0,0.526,0jwx104ASJH2nhF0RYTP55
127,5.0,0.439,1.0,0.502,12.0,104.991,0.402,4.0,1.0,2aHDgPxYYGE8mnpaXXMTRK
128,1.0,0.266,0.0,0.452,12.0,112.989,0.828,4.0,0.979,5JCUYNmvw0uBYEr4PHASiw
129,0.0,0.612,1.0,0.599,12.0,129.995,0.701,4.0,0.945,02Qm4oParICyHqiltTrt6q
130,5.0,0.426,0.0,0.415,12.0,91.727,0.568,4.0,1.0,7HI0G6BtTfPxZA34DareMN
131,4.0,0.24,0.0,0.397,12.0,85.036,0.024,4.0,1.0,0eGVf0SuQ7dY6loPLl6vGL
132,10.0,0.897,0.0,0.85,12.0,130.034,0.829,4.0,0.95,0d4g8cnqx15h23pfmI56hS
133,7.0,0.204,1.0,0.58,12.0,129.801,0.233,4.0,0.889,4WW04QopHbieoXw3y0JV0a
134,4.0,0.24,0.0,0.397,12.0,85.036,0.024,4.0,1.0,3rMQz6lBPQK3gsSgPJvav6
135,0.0,0.919,1.0,0.745,12.0,116.874,0.576,4.0,1.0,6yeOHYv4RfrL4sVyVvUE61
136,2.0,0.249,1.0,0.318,12.0,145.004,0.25,4.0,0.971,0RQqOuAvXGo9EX51XTUvvx
137,9.0,0.376,1.0,0.446,12.0,113.394,0.178,4.0,1.0,79N43oKE1Aa2p6L6XNNwiE
138,7.0,0.735,1.0,0.758,12.0,95.641,0.449,4.0,1.0,0CqsiBubT0eAm8GNFUzpbn
139,8.0,0.52,0.0,0.379,12.0,144.0,0.835,4.0,1.0,4RahdzD2B7f7Q6XDyf92qH
140,2.0,0.276,0.0,0.262,12.0,82.105,0.058,4.0,0.745,0GipaCUUhfCOPdxkXDGtVp
141,5.0,0.598,1.0,0.593,12.0,104.994,0.16,4.0,1.0,28k6uy8eU0nMKu0lSApuDn
142,10.0,0.488,1.0,0.542,12.0,191.941,0.246,4.0,1.0,35TfsWefx2yiuBG0IpriHU
143,7.0,0.0,0.0,0.149,12.0,88.01,0.25,4.0,1.0,3FioTtMLxrEMnqa8vvThQT
144,7.0,1.0,1.0,0.775,12.0,176.04,0.038,4.0,0.953,1xW6Y43t01h7pVxzBXSFRY
145,7.0,0.587,1.0,0.579,12.0,114.168,0.097,4.0,0.489,4Q5tec3nkF2W9frFn2sUVE
146,5.0,0.135,1.0,0.315,12.0,100.064,0.498,4.0,0.919,4GjD33yTih7RqvGkH9C9wO
147,3.0,0.432,1.0,0.586,12.0,138.811,0.748,4.0,1.0,1hPZt6ih3ZEiU5Xv7iHGeF
148,1.0,0.27,1.0,0.58,12.0,79.966,0.021,4.0,0.905,6hWjywqSn9XFl4RrfoJ6P4
149,11.0,0.38,0.0,0.55,12.0,119.986,0.82,4.0,1.0,4Z3P5tSmsB7BkFHFc38dz7
150,11.0,0.091,1.0,0.261,12.0,76.969,0.071,4.0,0.9,1rnsCJP2Xha5bbl3Ng2xp1
151,3.0,0.083,1.0,0.361,12.0,140.01,0.855,4.0,1.0,4pLhZp8E0Li15wHTHgqf4M
152,1.0,0.389,0.0,0.513,12.0,160.036,0.29,4.0,1.0,24sN3bU15V8g1XKxm32HVU
153,0.0,0.544,1.0,0.638,12.0,180.326,0.137,4.0,0.977,1YwbQmtjQo7IPMfdovait3
154,2.0,0.544,1.0,0.624,12.0,92.972,0.25,4.0,1.0,61TbEPCDY6PCHBKI5qRkZl
155,0.0,0.445,1.0,0.609,12.0,112.937,0.297,3.0,1.0,4QxvJNt0zBgTDUiOwjJ2EH
156,5.0,0.44,0.0,0.469,12.0,84.976,0.418,4.0,1.0,1PeY7UcO6qNOvCYl8SapIi
157,7.0,0.453,1.0,0.501,12.0,105.021,0.739,4.0,0.972,2Poo4caj1UwCxbKJP5lcD6
158,0.0,0.0,1.0,0.215,12.0,93.603,0.003,4.0,0.965,4SsNEB3KYHRyGrpJhi2Ddd
159,2.0,0.791,1.0,0.681,12.0,144.121,0.463,4.0,0.856,4rcE4XrVEhmHb3uof68uyi
160,1.0,0.013,1.0,0.252,12.0,97.794,0.228,4.0,1.0,5vEL3EpvP50ynXJqLon8yv
161,6.0,1.0,1.0,0.954,12.0,120.086,0.391,4.0,1.0,6ddQQfLNeFeJXB56xKMnoc
162,0.0,0.869,0.0,0.685,12.0,114.056,0.835,4.0,0.912,1jCVudHbEBMAf0XdLyfgJC
163,0.0,0.239,1.0,0.401,12.0,104.971,0.474,4.0,0.891,5TIJGXxF77qucugjrcPdfM
164,9.0,0.665,0.0,0.559,12.0,84.9,0.41,4.0,1.0,19B0zdvMwtNMGlJwi5As69
165,9.0,0.214,1.0,0.424,12.0,89.996,0.58,4.0,1.0,7sIZcntN4MgDOz36jqJV5o
166,2.0,0.514,1.0,0.923,12.0,143.016,0.684,4.0,0.999,6mOX5TIWwFW9iRm51tdLii
167,11.0,0.463,1.0,0.422,12.0,103.587,0.454,4.0,0.633,2ksfnGYDDMmpF5OOLXfVp8
168,11.0,0.0,1.0,0.0,12.0,88.157,0.591,4.0,0.866,06EcVIe6OXRNHRwiiWsBZf
169,4.0,0.395,1.0,0.434,12.0,96.022,0.016,4.0,0.87,48ZXZkxOYJVobKDecumqih
170,3.0,0.301,1.0,0.437,12.0,108.016,0.634,4.0,1.0,430AnSE09cNCZ42bG27QyU
171,5.0,0.356,1.0,0.397,12.0,86.799,0.055,4.0,0.865,6VVr03DVlC6rqp8uFTPVUx
172,2.0,0.53,1.0,0.619,12.0,101.299,0.707,4.0,1.0,1sL0oHu8NCQpImkjxkoVXj
173,5.0,0.804,0.0,0.756,12.0,127.001,0.712,3.0,0.359,4X9JAGRyJnnHN3KUjq1r9C
174,11.0,0.631,0.0,0.451,12.0,87.856,0.172,4.0,1.0,3dqcRnxc2vIMZfIOi0lOd3
175,5.0,0.53,1.0,0.462,12.0,93.989,0.246,4.0,1.0,0K0Xj8Tv4zvwkdPjXTpTX5
176,11.0,0.069,0.0,0.388,12.0,177.445,0.32,4.0,1.0,3aXOOHIFBOMBdTr5UWljSQ
177,7.0,0.641,0.0,0.492,12.0,125.026,0.711,4.0,1.0,1ZLMPbCw6W5gjcEdOrODq3
178,8.0,0.072,1.0,0.305,12.0,167.897,0.215,4.0,1.0,4UA7F1SRMC4JM08gopNWwS
179,4.0,0.185,1.0,0.277,12.0,84.777,0.399,4.0,1.0,6aBO03utB6exkY5pXp1JAE
180,9.0,0.436,1.0,0.467,12.0,139.935,0.358,4.0,1.0,2aGdUcIFCB8vjxqibN3JhZ
181,5.0,0.0,0.0,0.223,12.0,103.006,0.978,4.0,1.0,12sWl802QsIsizia0hwAYa
182,7.0,0.617,0.0,0.564,12.0,91.981,0.438,4.0,0.848,1BphUFXP6PeylvEx5GPrA5
183,4.0,0.0,0.0,0.054,12.0,120.693,0.124,5.0,0.841,4Dcs9BTQLhcVfZ1xs7T1cz
184,11.0,0.264,0.0,0.598,12.0,104.792,0.035,3.0,1.0,1cXFVAb81Sh0deOedv0HD6
185,2.0,0.581,1.0,0.583,12.0,105.032,0.589,4.0,1.0,2jYHHrLQI7q3sEND1jGI2x
186,8.0,0.755,0.0,0.631,12.0,92.001,0.552,4.0,1.0,3DnVO6Fc2Op0KlcouTaD0K
187,4.0,0.0,1.0,0.037,12.0,97.377,0.522,4.0,1.0,0Zt19WhdjNWTuesWBGju7o
188,11.0,0.37,0.0,0.493,12.0,137.336,0.256,4.0,0.957,0Fnr8QjnMda7t005XIZN3v
189,6.0,0.363,1.0,0.546,12.0,152.948,0.194,4.0,0.995,45nzVwZB2jR2ygbdkk6RGS
190,1.0,0.319,0.0,0.316,12.0,95.978,0.784,4.0,1.0,0tdArisopWbBGEVQrxXE16
191,8.0,0.267,1.0,0.496,12.0,77.969,0.598,3.0,0.503,5QImGf4zsXI6yrt22m5Hju
192,7.0,0.799,1.0,0.606,12.0,92.005,0.649,4.0,1.0,4hGbq3TfapH7i4ugeWuoW1
193,8.0,0.276,0.0,0.313,12.0,94.019,0.683,4.0,1.0,04AD9vIvCiO5qXjviXj37T
194,7.0,0.374,1.0,0.607,12.0,92.07,0.137,4.0,1.0,3O5JIwSON3KBaoyMUsjLjn
195,0.0,0.036,0.0,0.184,12.0,161.998,0.221,4.0,1.0,6oP7ZiztXEhYkDCSUm1z5J
196,6.0,0.516,0.0,0.533,12.0,90.026,0.66,4.0,1.0,7KeVJeaCaCLh3rnY2IBhB2
197,6.0,0.323,1.0,0.483,12.0,87.053,0.724,4.0,1.0,3CmuJxwX3v6gHZxlIlP3sy
198,7.0,0.375,1.0,0.453,12.0,166.317,0.155,4.0,1.0,5LAQZX5LB8jRkFleqSMbwz
199,0.0,0.605,0.0,0.646,12.0,90.106,0.521,4.0,1.0,7rvePtAgQC0nI8QyF10wx3
